LAT,LON,YEAR,MO,DY,Date,dew_point,T2M_MAX,T2M_MIN,WS50M_MIN,WS50M_MAX,avg_temp,relative_humidity,avg_wind_speed
33.95001,151.17001,2016,1,30,30-01-2016,14.7,18.9,13.5,1.6,18,16.2,84.9,9.8
33.95001,151.17001,2016,1,31,31-01-2016,11.3,14.9,13.9,5,13.5,14.4,81.8,9.2
33.95001,151.17001,2016,2,1,01-02-2016,10,16.7,13.4,5.6,16.7,15,74.8,11.1
33.95001,151.17001,2016,2,2,02-02-2016,10.8,15.1,12.5,5.6,7.7,13.8,85,6.7
33.95001,151.17001,2016,2,3,03-02-2016,8.3,13.8,12.5,4.8,12.6,13.2,72.4,8.7
33.95001,151.17001,2016,2,4,04-02-2016,8.7,12.7,11.7,2.5,10.3,12.2,79.8,6.4
33.95001,151.17001,2016,2,5,05-02-2016,10.1,17.1,12.1,3.2,10.9,14.6,71.2,7.1
33.95001,151.17001,2016,2,6,06-02-2016,13.2,18.1,16.5,6.7,15.7,17.3,76,11.2
33.95001,151.17001,2016,2,7,07-02-2016,12.9,19.7,13.4,5.9,29.2,16.6,84.6,17.6
33.95001,151.17001,2016,2,8,08-02-2016,9.5,15,13.7,1.9,5.7,14.4,73,3.8
33.95001,151.17001,2016,2,9,09-02-2016,10.8,16.4,15.1,3.2,15.2,15.7,72.6,9.2
33.95001,151.17001,2016,2,10,10-02-2016,8.6,16.9,11.5,14.2,21.7,14.2,72.5,17.9
33.95001,151.17001,2016,2,11,11-02-2016,6.6,11.3,10.5,14.1,18.4,10.9,74.6,16.2
33.95001,151.17001,2016,2,12,12-02-2016,7.5,11.7,11,6.2,14,11.4,76.9,10.1
33.95001,151.17001,2016,2,13,13-02-2016,8.4,15.4,11.4,4.5,6.2,13.4,71.8,5.4
33.95001,151.17001,2016,2,14,14-02-2016,12.7,18.5,15.6,6.3,17.6,17,75.6,11.9
33.95001,151.17001,2016,2,15,15-02-2016,17.1,19.3,18.5,17.2,22.5,18.9,89.2,19.8
33.95001,151.17001,2016,2,16,16-02-2016,12.3,18.3,14.2,4.9,16,16.2,81.2,10.5
33.95001,151.17001,2016,2,17,17-02-2016,10.2,17,14.2,4.6,13.8,15.6,68.6,9.2
33.95001,151.17001,2016,2,18,18-02-2016,10.3,16.8,13.4,4.3,13.6,15.1,75.2,8.9
33.95001,151.17001,2016,2,19,19-02-2016,10.9,18,13.5,3.5,10.7,15.7,70.5,7.1
33.95001,151.17001,2016,2,20,20-02-2016,12.5,17.5,16.3,5.5,15.9,16.9,75,10.7
33.95001,151.17001,2016,2,21,21-02-2016,16.7,19.2,17.4,10.4,18.5,18.3,89.2,14.5
33.95001,151.17001,2016,2,22,22-02-2016,9.6,17.6,12.7,5.2,15.4,15.1,73.9,10.3
33.95001,151.17001,2016,2,23,23-02-2016,9.5,16.9,12.6,3.2,10,14.8,73.7,6.6
33.95001,151.17001,2016,2,24,24-02-2016,13.5,17.9,14.3,6.7,10.8,16.1,83.2,8.8
33.95001,151.17001,2016,2,25,25-02-2016,9.6,14.1,11.9,4.8,9.9,13,82.3,7.3
33.95001,151.17001,2016,2,26,26-02-2016,8.2,13.6,12.3,4.7,9.4,12.9,73.2,7
33.95001,151.17001,2016,2,27,27-02-2016,7.8,15.1,13.1,1.1,10,14.1,67.4,5.6
33.95001,151.17001,2016,2,28,28-02-2016,10.4,16.9,14.6,4.1,9,15.8,68.4,6.5
33.95001,151.17001,2016,2,29,29-02-2016,12.6,18.4,13.5,6.8,21.5,16,85,14.1
33.95001,151.17001,2016,3,1,01-03-2016,11.3,18.8,12.3,11.2,22.4,15.5,79,16.8
33.95001,151.17001,2016,3,2,02-03-2016,8.7,13.3,12,7.5,13.1,12.6,75.9,10.3
33.95001,151.17001,2016,3,3,03-03-2016,7.8,15.4,11.4,8.6,13,13.4,71.2,10.8
33.95001,151.17001,2016,3,4,04-03-2016,9,16,13.1,10.4,13.8,14.5,70.5,12.1
33.95001,151.17001,2016,3,5,05-03-2016,8.2,13,11.7,10.9,12.6,12.4,76.4,11.7
33.95001,151.17001,2016,3,6,06-03-2016,6.8,11.8,10.5,3.8,12.7,11.2,75.5,8.3
33.95001,151.17001,2016,3,7,07-03-2016,9.1,15.3,11.8,4,11,13.6,73.9,7.5
33.95001,151.17001,2016,3,8,08-03-2016,14.6,18.6,15,5.6,19.5,16.8,89.5,12.5
33.95001,151.17001,2016,3,9,09-03-2016,14.5,17.7,16.4,3.6,14.5,17,85.1,9.1
33.95001,151.17001,2016,3,10,10-03-2016,15.4,18.6,16.5,4.7,15.8,17.6,86.9,10.2
33.95001,151.17001,2016,3,11,11-03-2016,12.9,18.4,13.2,8.1,14.9,15.8,88.5,11.5
33.95001,151.17001,2016,3,12,12-03-2016,11.3,14.4,13.5,7.3,10.1,13.9,82.5,8.7
33.95001,151.17001,2016,3,13,13-03-2016,10.7,15.8,14,5.5,9.6,14.9,76.7,7.6
33.95001,151.17001,2016,3,14,14-03-2016,12.6,17.4,15.9,6.9,12.3,16.6,77.5,9.6
33.95001,151.17001,2016,3,15,15-03-2016,13.6,19.8,13.7,13,27.7,16.8,84.6,20.4
33.95001,151.17001,2016,3,16,16-03-2016,6.8,13.6,12.5,1.6,15.4,13.1,66.4,8.5
33.95001,151.17001,2016,3,17,17-03-2016,6.8,15.6,12.7,1.6,6.4,14.1,61.9,4
33.95001,151.17001,2016,3,18,18-03-2016,10.6,15.8,15.1,6.4,8.9,15.5,72,7.6
33.95001,151.17001,2016,3,19,19-03-2016,9.6,15.5,14.4,3.5,7.7,14.9,71.1,5.6
33.95001,151.17001,2016,3,20,20-03-2016,13.1,17.5,14.4,9,19.8,15.9,81.8,14.4
33.95001,151.17001,2016,3,21,21-03-2016,8.2,14,12.1,2.5,14.5,13.1,74.1,8.5
33.95001,151.17001,2016,3,22,22-03-2016,8.1,14.3,11.4,0.6,6.3,12.8,71.1,3.5
33.95001,151.17001,2016,3,23,23-03-2016,8.9,16.7,13.3,1.8,8.5,15,68.2,5.2
33.95001,151.17001,2016,3,24,24-03-2016,12.8,17.4,16.8,7.6,13.2,17.1,75.9,10.4
33.95001,151.17001,2016,3,25,25-03-2016,9.7,17.2,12.8,10.6,14.8,15,76.1,12.7
33.95001,151.17001,2016,3,26,26-03-2016,7.8,13.1,12.3,4.6,10.4,12.7,72,7.5
33.95001,151.17001,2016,3,27,27-03-2016,8.9,15.2,11.3,0.4,9.6,13.2,76.7,5
33.95001,151.17001,2016,3,28,28-03-2016,14.9,17.8,15.5,6.6,11.7,16.6,87.2,9.2
33.95001,151.17001,2016,3,29,29-03-2016,13.1,17.3,15.3,7.8,14.5,16.3,82.6,11.1
33.95001,151.17001,2016,3,30,30-03-2016,9.5,15.3,15,1,13.1,15.2,69,7.1
33.95001,151.17001,2016,3,31,31-03-2016,10.7,17.2,15,1.4,10.8,16.1,70.3,6.1
33.95001,151.17001,2016,4,1,01-04-2016,8.5,14.9,13.2,8.7,11.6,14,68,10.1
33.95001,151.17001,2016,4,2,02-04-2016,8.4,13.5,12.9,6.7,9.5,13.2,72.1,8.1
33.95001,151.17001,2016,4,3,03-04-2016,7.9,13.5,12.6,3.2,8.1,13,71.4,5.7
33.95001,151.17001,2016,4,4,04-04-2016,11.6,17.4,13.6,5,19.2,15.5,77.8,12.1
33.95001,151.17001,2016,4,5,05-04-2016,16,18.2,15.5,3.4,20.9,16.9,92.4,12.1
33.95001,151.17001,2016,4,6,06-04-2016,13.3,16.4,15.5,2.4,9.5,15.9,83.7,5.9
33.95001,151.17001,2016,4,7,07-04-2016,9.7,16.3,14.5,2.7,12.2,15.4,70,7.5
33.95001,151.17001,2016,4,8,08-04-2016,16.9,18.9,16.5,8,18.4,17.7,92.7,13.2
33.95001,151.17001,2016,4,9,09-04-2016,12.3,17.1,15.6,3.2,9.2,16.4,77.8,6.2
33.95001,151.17001,2016,4,10,10-04-2016,13,16.5,14.6,3.1,8.3,15.6,85.3,5.7
33.95001,151.17001,2016,4,11,11-04-2016,13.9,17,14.4,3.1,15.5,15.7,87.6,9.3
33.95001,151.17001,2016,4,12,12-04-2016,7.8,14.1,12.4,7.9,17.2,13.3,70.8,12.5
33.95001,151.17001,2016,4,13,13-04-2016,8.6,14.8,12.6,3.8,9.4,13.7,72.7,6.6
33.95001,151.17001,2016,4,14,14-04-2016,14.8,19.1,14.9,9.6,18.7,17,88.7,14.2
33.95001,151.17001,2016,4,15,15-04-2016,15.9,19.7,15.3,8.8,23.8,17.5,88.1,16.3
33.95001,151.17001,2016,4,16,16-04-2016,9,15.3,14.2,5.6,15.5,14.7,68.4,10.5
33.95001,151.17001,2016,4,17,17-04-2016,10.3,17.6,14.3,2.9,15,15.9,70.5,8.9
33.95001,151.17001,2016,4,18,18-04-2016,17.7,19.3,17.5,11.7,15.3,18.4,95,13.5
33.95001,151.17001,2016,4,19,19-04-2016,16.8,19.2,15.2,4.7,15.7,17.2,95.8,10.2
33.95001,151.17001,2016,4,20,20-04-2016,12.4,16.1,15.1,3.7,10.1,15.6,80.8,6.9
33.95001,151.17001,2016,4,21,21-04-2016,9,16.1,14.3,1.6,6.7,15.2,67.5,4.1
33.95001,151.17001,2016,4,22,22-04-2016,15.5,19.4,16.1,6.9,21.2,17.7,88.3,14
33.95001,151.17001,2016,4,23,23-04-2016,14.4,18.4,16.3,3.9,14.6,17.3,85.9,9.3
33.95001,151.17001,2016,4,24,24-04-2016,15.6,18.2,16.9,4.5,8,17.6,88.8,6.2
33.95001,151.17001,2016,4,25,25-04-2016,12.4,17.9,15.3,7.3,10.8,16.6,78.8,9
33.95001,151.17001,2016,4,26,26-04-2016,9.4,15.6,15.1,4.8,7.6,15.4,67.1,6.2
33.95001,151.17001,2016,4,27,27-04-2016,11.9,16.6,15.5,3.2,6.1,16,75.9,4.7
33.95001,151.17001,2016,4,28,28-04-2016,13.2,17.3,16.5,4.2,17.3,16.9,80.2,10.8
33.95001,151.17001,2016,4,29,29-04-2016,18.3,19.8,17.6,11,16.6,18.7,94.9,13.8
33.95001,151.17001,2016,4,30,30-04-2016,11.6,18.5,16,9.1,13.3,17.2,72.5,11.2
33.95001,151.17001,2016,5,1,01-05-2016,10.8,18,15.4,2.8,10.4,16.7,69.5,6.6
33.95001,151.17001,2016,5,2,02-05-2016,14.6,18.8,15.5,6.7,10.8,17.1,83.7,8.7
33.95001,151.17001,2016,5,3,03-05-2016,10.8,15.7,15.1,4.1,7.5,15.4,74.4,5.8
33.95001,151.17001,2016,5,4,04-05-2016,14.4,18.4,15.8,7.6,13,17.1,84.2,10.3
33.95001,151.17001,2016,5,5,05-05-2016,18.1,19.7,18.4,11.5,15.7,19,94.4,13.6
33.95001,151.17001,2016,5,6,06-05-2016,16.4,19.5,18.2,0.3,10.5,18.8,87.2,5.4
33.95001,151.17001,2016,5,7,07-05-2016,16.7,19.9,18.1,0.6,12.2,19,88.3,6.4
33.95001,151.17001,2016,5,8,08-05-2016,17.2,20.4,17.9,4.8,16.3,19.1,88.5,10.6
33.95001,151.17001,2016,5,9,09-05-2016,11.4,18.7,17.8,6.6,10.2,18.2,64.9,8.4
33.95001,151.17001,2016,5,10,10-05-2016,16.5,19.6,17.8,4.9,12.6,18.7,88.3,8.8
33.95001,151.17001,2016,5,11,11-05-2016,19.6,20.2,19.6,8.9,10.6,19.9,97.8,9.8
33.95001,151.17001,2016,5,12,12-05-2016,19.7,20.1,20,7.9,10.6,20,97.7,9.2
33.95001,151.17001,2016,5,13,13-05-2016,19.7,20.1,20,0.2,7.9,20,97.6,4.1
33.95001,151.17001,2016,5,14,14-05-2016,18.2,20,18.7,0.4,5.5,19.3,92.9,2.9
33.95001,151.17001,2016,5,15,15-05-2016,16.4,18.7,18.4,5.3,9.1,18.6,87.4,7.2
33.95001,151.17001,2016,5,16,16-05-2016,16.3,19.7,18.6,7.4,9.1,19.2,82.5,8.3
33.95001,151.17001,2016,5,17,17-05-2016,17.1,20.1,19.7,7.4,8.7,19.9,84,8.1
33.95001,151.17001,2016,5,18,18-05-2016,18.2,20.3,20,7.7,9.3,20.1,88.7,8.5
33.95001,151.17001,2016,5,19,19-05-2016,19.2,20.6,20.2,1.4,9.5,20.4,92.6,5.4
33.95001,151.17001,2016,5,20,20-05-2016,19.7,20.5,20.2,1,10.5,20.3,95.7,5.8
33.95001,151.17001,2016,5,21,21-05-2016,19.2,20.3,19.9,6.5,12.6,20.1,94.7,9.6
33.95001,151.17001,2016,5,22,22-05-2016,18.2,20.7,19.7,1.1,9.6,20.2,88.4,5.4
33.95001,151.17001,2016,5,23,23-05-2016,16.5,20.1,19.6,0.3,5,19.9,80.7,2.7
33.95001,151.17001,2016,5,24,24-05-2016,16.5,20.1,18.1,3.4,9.1,19.1,83.6,6.2
33.95001,151.17001,2016,5,25,25-05-2016,14.9,19.2,18.5,3.3,5.9,18.8,77.2,4.6
33.95001,151.17001,2016,5,26,26-05-2016,15.5,20.3,18.3,3.2,6.3,19.3,79,4.8
33.95001,151.17001,2016,5,27,27-05-2016,19.2,20.8,20.3,5.2,7.5,20.6,91.8,6.3
33.95001,151.17001,2016,5,28,28-05-2016,20.8,21.8,20.5,5.6,12.8,21.1,97,9.2
33.95001,151.17001,2016,5,29,29-05-2016,16.3,20.2,19.2,2,9.4,19.7,81.7,5.7
33.95001,151.17001,2016,5,30,30-05-2016,15.8,19.7,17.5,1.8,11.1,18.6,82.1,6.4
33.95001,151.17001,2016,5,31,31-05-2016,16.4,20,17.6,7.7,12.3,18.8,83.8,10
33.95001,151.17001,2016,6,1,01-06-2016,18.9,21.1,19.9,7,10.8,20.5,90.7,8.9
33.95001,151.17001,2016,6,2,02-06-2016,18.1,21.1,18.8,3.9,8.7,19.9,87.8,6.3
33.95001,151.17001,2016,6,3,03-06-2016,14.5,19.4,18.7,4.4,8.7,19.1,74.9,6.5
33.95001,151.17001,2016,6,4,04-06-2016,12.1,19.6,19,1.5,6.4,19.3,63.3,4
33.95001,151.17001,2016,6,5,05-06-2016,15,19.1,18.4,1.1,6,18.8,79.2,3.6
33.95001,151.17001,2016,6,6,06-06-2016,16,20.3,18.7,1.3,6.8,19.5,80,4.1
33.95001,151.17001,2016,6,7,07-06-2016,13.6,18.9,17.9,4.6,6.5,18.4,73.9,5.6
33.95001,151.17001,2016,6,8,08-06-2016,14.8,20,18.9,4.3,7.7,19.4,75.3,6
33.95001,151.17001,2016,6,9,09-06-2016,18.1,21.2,19.8,7.8,12.3,20.5,86.1,10.1
33.95001,151.17001,2016,6,10,10-06-2016,21.4,22,21.1,7.8,13.3,21.6,97.2,10.5
33.95001,151.17001,2016,6,11,11-06-2016,19.1,22,20.5,3.6,9.8,21.2,88.6,6.7
33.95001,151.17001,2016,6,12,12-06-2016,15.8,20.6,19.3,5.3,8.8,19.9,77.3,7
33.95001,151.17001,2016,6,13,13-06-2016,16.1,19.2,18.4,4,12.8,18.8,84.4,8.4
33.95001,151.17001,2016,6,14,14-06-2016,20.7,22.7,19.1,8.9,18,20.9,94.3,13.4
33.95001,151.17001,2016,6,15,15-06-2016,18.9,21.8,20.1,6.8,14.7,21,88.7,10.7
33.95001,151.17001,2016,6,16,16-06-2016,16.6,20,19.5,3.8,6.6,19.7,82.1,5.2
33.95001,151.17001,2016,6,17,17-06-2016,18.7,22.2,19.4,4,12.8,20.8,88.8,8.4
33.95001,151.17001,2016,6,18,18-06-2016,19.8,22.1,20.8,8.6,13.6,21.4,90.5,11.1
33.95001,151.17001,2016,6,19,19-06-2016,17.1,20.7,19.8,5.4,8.3,20.3,82.7,6.8
33.95001,151.17001,2016,6,20,20-06-2016,16.2,20.4,19.8,4.7,7.8,20.1,78.5,6.3
33.95001,151.17001,2016,6,21,21-06-2016,19.2,21.8,20.4,7.8,12.1,21.1,88.5,9.9
33.95001,151.17001,2016,6,22,22-06-2016,20.6,22.5,21.2,5.5,16.5,21.8,92.3,11
33.95001,151.17001,2016,6,23,23-06-2016,19.7,22.1,20.4,2.8,11.8,21.3,91.4,7.3
33.95001,151.17001,2016,6,24,24-06-2016,21.3,22.8,21.7,2.5,17.8,22.3,94.2,10.2
33.95001,151.17001,2016,6,25,25-06-2016,22.1,23,21.8,3.2,10.8,22.4,97.1,7
33.95001,151.17001,2016,6,26,26-06-2016,22.9,23.5,23,9.7,11,23.2,98,10.4
33.95001,151.17001,2016,6,27,27-06-2016,22.8,23.5,22.7,2.4,10.5,23.1,97.6,6.5
33.95001,151.17001,2016,6,28,28-06-2016,23.2,23.7,23.1,3.1,10.1,23.4,98.1,6.6
33.95001,151.17001,2016,6,29,29-06-2016,23.3,23.8,23.5,8,11.2,23.6,98,9.6
33.95001,151.17001,2016,6,30,30-06-2016,20.7,23.4,21.8,4.2,7.9,22.6,90.9,6
33.95001,151.17001,2016,7,1,01-07-2016,19.5,22.8,21.9,3.6,5.9,22.3,84.1,4.7
33.95001,151.17001,2016,7,2,02-07-2016,20.8,23.4,22.8,4.1,6.1,23.1,86.8,5.1
33.95001,151.17001,2016,7,3,03-07-2016,21.6,25.1,23.4,3.9,6.7,24.2,83.7,5.3
33.95001,151.17001,2016,7,4,04-07-2016,23.3,25.1,24.6,7,9,24.8,90.8,8
33.95001,151.17001,2016,7,5,05-07-2016,22.1,24.7,22.5,4.2,9.3,23.6,90.6,6.7
33.95001,151.17001,2016,7,6,06-07-2016,19,22.5,22,4.2,6.7,22.2,81.9,5.4
33.95001,151.17001,2016,7,7,07-07-2016,20.4,24.7,22.5,3.8,8.5,23.6,82.1,6.2
33.95001,151.17001,2016,7,8,08-07-2016,21.8,24.8,23.6,9.2,11.6,24.2,87.3,10.4
33.95001,151.17001,2016,7,9,09-07-2016,20.8,23.9,23.5,3,9.3,23.7,83.6,6.1
33.95001,151.17001,2016,7,10,10-07-2016,22.5,25.4,24,3.3,14.4,24.7,88.5,8.8
33.95001,151.17001,2016,7,11,11-07-2016,22.8,25,23.1,3.9,14.1,24.1,91.3,9
33.95001,151.17001,2016,7,12,12-07-2016,20.5,24,23,2.8,7.6,23.5,83.1,5.2
33.95001,151.17001,2016,7,13,13-07-2016,19.4,23,22.5,2.2,5.7,22.7,81.4,4
33.95001,151.17001,2016,7,14,14-07-2016,22.4,25.2,23.1,4.6,13.2,24.2,88.1,8.9
33.95001,151.17001,2016,7,15,15-07-2016,24,26,25.1,12.5,18.4,25.5,90,15.5
33.95001,151.17001,2016,7,16,16-07-2016,24.4,25.8,24.7,6.7,14.8,25.2,94.1,10.8
33.95001,151.17001,2016,7,17,17-07-2016,22,24.6,23.5,4.2,7.6,24,88.3,5.9
33.95001,151.17001,2016,7,18,18-07-2016,19.6,23.6,23.2,3.9,6.5,23.4,79.2,5.2
33.95001,151.17001,2016,7,19,19-07-2016,19.5,23.5,23.2,4.6,6.1,23.3,78.9,5.4
33.95001,151.17001,2016,7,20,20-07-2016,20.2,24.1,23.3,3.2,5.3,23.7,81,4.2
33.95001,151.17001,2016,7,21,21-07-2016,20.2,24.5,23.8,2.3,4.6,24.1,78.3,3.5
33.95001,151.17001,2016,7,22,22-07-2016,19.9,24.5,23.6,0.8,4.1,24.1,77.6,2.4
33.95001,151.17001,2016,7,23,23-07-2016,21.1,25,24.3,3.3,5.9,24.7,80.2,4.6
33.95001,151.17001,2016,7,24,24-07-2016,21.5,24.2,23.9,3.5,5.4,24,85.3,4.5
33.95001,151.17001,2016,7,25,25-07-2016,20.8,24.3,24,3.2,5,24.1,81.5,4.1
33.95001,151.17001,2016,7,26,26-07-2016,21.3,25.1,24.4,4.2,6.5,24.8,81.3,5.4
33.95001,151.17001,2016,7,27,27-07-2016,20.9,25.1,24.5,2,4.8,24.8,79,3.4
33.95001,151.17001,2016,7,28,28-07-2016,22.8,26.2,25,3.1,8.1,25.6,83.8,5.6
33.95001,151.17001,2016,7,29,29-07-2016,23.1,26.7,25.8,6.3,9,26.2,82.8,7.6
33.95001,151.17001,2016,7,30,30-07-2016,23.9,26.7,25.9,9.2,12.6,26.3,87,10.9
33.95001,151.17001,2016,7,31,31-07-2016,24.1,26.1,25.8,11.1,13,26,89,12
33.95001,151.17001,2016,8,1,01-08-2016,23.3,26.2,25.9,11,12.7,26,84.8,11.9
33.95001,151.17001,2016,8,2,02-08-2016,22.4,26.1,25.8,9.3,11.1,26,80.5,10.2
33.95001,151.17001,2016,8,3,03-08-2016,23.2,26.4,25.7,8,9,26.1,84,8.5
33.95001,151.17001,2016,8,4,04-08-2016,22.9,26.7,26.3,5.2,7.7,26.5,80.5,6.4
33.95001,151.17001,2016,8,5,05-08-2016,23.7,26.5,25.8,6.2,8.8,26.1,86.4,7.5
33.95001,151.17001,2016,8,6,06-08-2016,24.6,26.7,26.4,7.3,9,26.6,88.5,8.2
33.95001,151.17001,2016,8,7,07-08-2016,24.3,26.6,26,8.4,17.3,26.3,88.7,12.8
33.95001,151.17001,2016,8,8,08-08-2016,24.7,26.6,26.2,15.6,16.9,26.4,90.8,16.2
33.95001,151.17001,2016,8,9,09-08-2016,24.8,26.5,26.2,10.1,15.9,26.3,91,13
33.95001,151.17001,2016,8,10,10-08-2016,24.3,26.6,26.4,8.3,9.8,26.5,87.7,9
33.95001,151.17001,2016,8,11,11-08-2016,22.9,26.4,25.9,6.2,8.7,26.2,82.2,7.4
33.95001,151.17001,2016,8,12,12-08-2016,22.9,26.5,25.9,3.2,8.3,26.2,82.1,5.7
33.95001,151.17001,2016,8,13,13-08-2016,22.8,26.5,25.1,4.4,16.4,25.8,83,10.4
33.95001,151.17001,2016,8,14,14-08-2016,23.7,26.6,25.7,4.7,15,26.2,86.1,9.8
33.95001,151.17001,2016,8,15,15-08-2016,23.2,26.7,25.7,6.3,11.4,26.2,83.6,8.8
33.95001,151.17001,2016,8,16,16-08-2016,24.8,26.4,26.2,11.1,11.9,26.3,91.3,11.5
33.95001,151.17001,2016,8,17,17-08-2016,23.4,26.2,25.9,10.9,11.9,26.1,85.1,11.4
33.95001,151.17001,2016,8,18,18-08-2016,24.5,26.6,25.8,12.2,15.6,26.2,90,13.9
33.95001,151.17001,2016,8,19,19-08-2016,24.9,26.4,25.8,11.2,17.4,26.1,92.7,14.3
33.95001,151.17001,2016,8,20,20-08-2016,24.5,26.3,25.8,13.7,19.7,26,90.8,16.7
33.95001,151.17001,2016,8,21,21-08-2016,23.7,26.2,25.9,8.9,13.2,26.1,86.6,11
33.95001,151.17001,2016,8,22,22-08-2016,22.8,26.1,25.8,8.2,9,26,82.4,8.6
33.95001,151.17001,2016,8,23,23-08-2016,22.9,26.2,25.5,6.9,8.8,25.9,82.8,7.8
33.95001,151.17001,2016,8,24,24-08-2016,23.5,26.4,25.4,6.2,9.8,25.9,86.3,8
33.95001,151.17001,2016,8,25,25-08-2016,23.7,26.4,26.1,8.9,13.9,26.3,85.9,11.4
33.95001,151.17001,2016,8,26,26-08-2016,24.2,26.4,25.6,8,19.2,26,89.4,13.6
33.95001,151.17001,2016,8,27,27-08-2016,24.6,26.8,26.1,3.4,9,26.4,89.2,6.2
33.95001,151.17001,2016,8,28,28-08-2016,23.7,26.9,26.5,0.6,3.2,26.7,83.4,1.9
33.95001,151.17001,2016,8,29,29-08-2016,24.4,27.3,26.6,0.5,8,27,85.7,4.2
33.95001,151.17001,2016,8,30,30-08-2016,24.4,27.6,26.3,2.4,10.1,26.9,84.6,6.2
33.95001,151.17001,2016,8,31,31-08-2016,24,27.1,26.1,2.1,7.2,26.6,86.1,4.7
33.95001,151.17001,2016,9,1,01-09-2016,24.4,27.2,26.9,6.4,8.1,27.1,85.2,7.3
33.95001,151.17001,2016,9,2,02-09-2016,24.2,27.1,26.9,8.1,9.1,27,84.6,8.6
33.95001,151.17001,2016,9,3,03-09-2016,23.7,26.9,26.5,5,8.1,26.7,83.5,6.5
33.95001,151.17001,2016,9,4,04-09-2016,22.6,26.9,26.3,2.3,4.7,26.6,78.3,3.5
33.95001,151.17001,2016,9,5,05-09-2016,21.8,26.2,25.9,1.6,3.3,26,77.6,2.4
33.95001,151.17001,2016,9,6,06-09-2016,22.3,26.8,26,2.2,6.4,26.4,77.6,4.3
33.95001,151.17001,2016,9,7,07-09-2016,22.8,27.1,26.4,4,6.3,26.7,79.2,5.2
33.95001,151.17001,2016,9,8,08-09-2016,24.1,27.4,26.8,4.9,6.7,27.1,83.4,5.8
33.95001,151.17001,2016,9,9,09-09-2016,24.7,27.7,26.8,6,8.1,27.2,84.6,7
33.95001,151.17001,2016,9,10,10-09-2016,25.1,27.9,27.5,5.4,9.8,27.7,85.2,7.6
